Roaster,Name,Roast Profile,Flavour Notes,Origin / Location,Varietal / Species,Process,Elevation,Price,Product Link
7000 Steps,Assam Kelelo Microlot,Medium Roast,Fruity with hints of wild honey,"Assam, Northeast India",100% Arabica,Natural Sun Dried,900 - 1200 meters above sea level,"INR 999 - INR 2,100",https://www.7000steps.com/products/assam-highlands-micro-lot-nl
7000 Steps,Assam Speciality Arabica Coffee - 250g,Medium Roast,"Citrus, mandarin, brown sugar, roasted nuts, dark chocolate, cocoa; clean finish with a hint of stone fruit","Dima Hasao, Assam",100% Arabica,,"529 - 2,158 meters",INR 899,https://www.7000steps.com/products/assam-speciality-arabica-coffee-250g
7000 Steps,Meghalaya JK Microlot,Medium Roast,Wild sweet lemon with a hint of cocoa,"Meghalaya, Northeast India",100% Arabica,Natural Sun Dried,700 - 800 meters above sea level,"INR 999 - INR 2,700",https://www.7000steps.com/products/meghalaya-microlot-1kg
7000 Steps,Meghalaya Single Origin Robusta Coffee - 250g,Medium Roast / Dark Roast,"Mild citrus, roasted nuts, cereal, dark chocolate aroma","Aguragre, Meghalaya",100% Single-Origin Robusta,"Natural Sun-Dried, Hand-Picked",,INR 799,https://www.7000steps.com/products/single-origin-robusta-meghalaya-250g
7000 Steps,Mizoram Arabica Green Beans 1Kg,,,"Mizoram, Northeast India",Arabica,,,INR 920,https://www.7000steps.com/products/mizoram-arabica-green-beans-1kg
7000 Steps,Moka Pot Coffee Combo,,"Toasted nuts, 85% dark chocolate; smooth dark-chocolate finish",Northeast India,100% Robusta coffee included,,,"INR 1,099",https://www.7000steps.com/products/moka-pot-coffee-combo
7000 Steps,Northeast Adventures - 250g,Dark Roast / Medium Roast,Fruity lime hints with slightly nutty and chocolate hints,Multi Origin from Northeast India,"50% Arabica, 50% Robusta",Natural,800 - 1400 meters above sea level,INR 559,https://www.7000steps.com/products/adventure-blend-250gm
7000 Steps,Northeast Cold Brew - Premium Cold Brew Coffee Bags (5 Sachets | 250g ),Medium Roast,"Gentle fruitiness like berries, subtle tamarind tang, cocoa aftertaste","Assam 20%, Tripura 40%, Tura Meghalaya 40%",100% Arabica blend,,,INR 499,https://www.7000steps.com/products/7000seps-cold-brew
7000 Steps,Northeast Fusion - 250g,Dark Roast / Medium Roast,Fruity lime with slightly nutty and chocolate hints,Multi Origin from Northeast India,"80% Arabica, 20% Robusta",Natural,800 - 1400 meters above sea level,INR 559,https://www.7000steps.com/products/earthy-tropical-250gm
7000 Steps,Northeast Peak - 250g,Dark Roast / Medium Roast,"Sweet, honey-like with citrus (lime) undertones","Multi-Origin from Northeast India (Assam, Meghalaya, and Nagaland)",100% Arabica,Natural Sun Dried,800 - 1300 meters above sea level,INR 599,https://www.7000steps.com/products/blue-sunrise-250gm
7000 Steps,Northeast Wild Robusta - 250g,Medium and Dark Roast,Nutty with hints of chocolate,"Multi-Origin from Northeast India (Meghalaya, Assam, Mizoram)",100% Robusta,Natural,800 - 1300 meters above sea level,INR 499,https://www.7000steps.com/products/northeast-wild-robusta-250g
7000 Steps,Single Origin Arabica - Assam 250g,Medium Roast,"Chocolate, roasted almond, guava-like acidity, subtle cereal-like finish; sweet and sour berry notes","Assam, Northeast India",100% Arabica,,,INR 799,https://www.7000steps.com/products/single-origin-arabica-assam-250g
7000 Steps,Single Origin Arabica - Meghalaya 250g,Medium Roast,Sweet lime with hints of grapefruit,"Meghalaya, Northeast India",100% Arabica,,1200 meters,INR 799,https://www.7000steps.com/products/single-origin-arabica-meghalaya-250g
ARAKU Coffee,Selection,Medium Dark Roast,"Honey, sugarcane, dark chocolate, caramel","Kabada Bodaput village, Araku Valley, Andhra Pradesh",100% Arabica,"Natural, Honey & Washed Process",3545 to 4215 feet,"INR 590 - INR 2,620",https://www.arakucoffee.in/products/selection
ARAKU Coffee,Signature,Medium Roast,"Green pepper, cherry, dark chocolate; fine tea aroma","Araku Valley, Andhra Pradesh (Kuthangi Thadeput / Ganjaiguda)",100% Arabica,Washed & Natural,3280 to 3610 feet,"INR 540 - INR 2,520",https://www.arakucoffee.in/products/signature
ARAKU Coffee,Micro Climate,Medium Roast,"Olives, honey, grapes, dried berry; candied fruit","Baankubedda riverine island, Araku Valley, Andhra Pradesh",100% Arabica,Natural,2789 to 2854 feet,"INR 630 - INR 2,920",https://www.arakucoffee.in/products/micro-climate
ARAKU Coffee,Grand Reserve,Medium Roast,"Tropical fruits, citrus, floral, dates, olives","Kuthangi Thadiput, Araku Valley, Andhra Pradesh",100% Arabica,Natural & Washed,3307 to 3908 feet,"INR 890 - INR 3,920",https://www.arakucoffee.in/products/grande-reserve
ARAKU Coffee,High Altitude,Medium Roast,"Rose apple, buttercream cookies, baker's chocolate, caramel","Bakuru village, Araku Valley, Andhra Pradesh",100% Arabica,Black Honey,3790 to 4362 feet,INR 940,https://www.arakucoffee.in/products/high-altitude
Baarbara Coffee,Premium Blended Filter Coffee Powder,,"Characteristic texture and aroma; strong, rich filter coffee cup","Bababudangiri Range, Chikkamagaluru, Karnataka",Arabica coffee with 15% chicory; Grade AA coffee beans,,4500 to 5000 feet,INR 400,https://www.baarbaracoffee.com/products/premium-blended-filter-coffee-powder
Baarbara Coffee,Giri's Legacy Premium Filter Coffee Powder,,Exquisite taste and texture,"Bababudangiri Hills, Karnataka",Single-origin Grade AA Arabica coffee beans,"Pulped, fermented over 16 hours, washed, and sun-dried for 10 days",,INR 450,https://www.baarbaracoffee.com/products/giris-legacy-premium-filter-coffee-powder
Baarbara Coffee,Roasted Arabica Coffee Beans,,"Long-lasting pleasant taste, delicate flavour, balanced aroma","Bababudangiri Range, Chikkamagaluru, Karnataka",AA-Grade 100% Arabica,,4500 to 5000 feet,INR 450,https://www.baarbaracoffee.com/products/roasted-arabica-coffee-beans
Baarbara Coffee,Premium Grade 'A' Coffee Beans Powder | Blended Arabica Coffee | Black Coffee (Pack of 2),,Characteristic texture and aroma; long-lasting delight,"Baba Budan Hills, Chikmagalur",Premium Grade A blended Arabica coffee beans powder,,3850 to 5350 feet,INR 800,https://www.baarbaracoffee.com/products/premium-grade-a-coffee-beans-powder-blended-arabica-coffee-black-coffee-pack-of-2
Baarbara Coffee,South Indian Filter Coffee Powder,,Nuanced estate-grown filter coffee flavours,"Bababudangiri Range, Chikkamagaluru, Karnataka",Arabica coffee beans,,4500 to 5000 feet,"INR 400 - INR 6,000",https://www.baarbaracoffee.com/products/south-indian-filter-coffee-powder
Baarbara Coffee,100% AA Grade Roasted Arabica Coffee Beans,Medium / Dark Roast,"Long-lasting pleasant taste, delicate flavour, balanced aroma","Bababudangiri Range, Chikkamagaluru, Karnataka",AA-Grade 100% Arabica,,4500 to 5000 feet,"INR 620 - INR 8,260",https://www.baarbaracoffee.com/products/100-aa-grade-roasted-arabica-coffee-beans
Baarbara Coffee,100% Robusta AA Grade Roasted Coffee Beans,Medium / Dark Roast,"Brighter, sharper flavour with a zingy aftertaste","Bababudangiri Hills, Chikkamagaluru, Karnataka",AA-Grade 100% Robusta,,,"INR 560 - INR 7,400",https://www.baarbaracoffee.com/products/robusta-100-roasted-coffee-beans-aa-grade-specialty-1
Baarbara Coffee,60% Arabica - 40% Robusta Roasted Coffee Beans Premium Blend,Medium / Dark Roast,Layered and nuanced flavours; brightness and acidity from Robusta,"Bababudangiri Range, Chikkamagaluru, Karnataka","60% Arabica, 40% Robusta",,4500 to 5000 feet,"INR 580 - INR 7,650",https://www.baarbaracoffee.com/products/arabica-60-robusta-40-roasted-coffee-beans-aa-grade-specialty
Baarbara Coffee,70% Arabica - 30% Robusta Roasted Coffee Beans Premium Blend,Medium / Dark Roast,Nuanced floral and fruity flavours; brightness and acidity from Robusta,"Bababudangiri Range, Chikkamagaluru, Karnataka","70% Arabica, 30% Robusta",,4500 to 5000 feet,"INR 590 - INR 7,800",https://www.baarbaracoffee.com/products/arabica-70-robusta-30-roasted-coffee-beans-aa-grade-specialty
Baarbara Coffee,80% Arabica - 20% Robusta Roasted Coffee Beans Premium Blend,Medium / Dark Roast,Pronounced floral and fruity flavours; subtle brightness and acidity,"Bababudangiri Range, Chikkamagaluru, Karnataka","80% Arabica, 20% Robusta",,4500 to 5000 feet,"INR 600 - INR 7,900",https://www.baarbaracoffee.com/products/copy-of-arabica-80-robusta-20-roasted-coffee-beans-aa-grade-specialty
Baarbara Coffee,100% AAA Grade Roasted Arabica Coffee Beans,Medium / Dark Roast,"Long-lasting pleasant taste, delicate flavour, balanced aroma","Bababudangiri Range, Chikkamagaluru, Karnataka",AAA-Grade 100% Arabica,,4500 to 5000 feet,"INR 670 - INR 8,310",https://www.baarbaracoffee.com/products/100-aaa-grade-roasted-arabica-coffee-beans
Baarbara Coffee,Vienna Dark Roasted Coffee Beans,Dark Roast,Dark chocolate; intense full-bodied cup,"Bababudangiri Range, Chikkamagaluru, Karnataka",AA Grade specialty Arabica coffee beans,,4500 to 5000 feet,"INR 650 - INR 8,400",https://www.baarbaracoffee.com/products/vienna-dark-roast-roasted-whole-beans
Baarbara Coffee,Frozen Cherry Roasted Coffee Beans,,"Juicy mango, mixed berries","Baarbara, Chikmagalur, Karnataka",SLN 795,Frozen whole-cherry fermentation; slow dried on raised beds,4500 to 5000 feet,"INR 830 - INR 12,000",https://www.baarbaracoffee.com/products/frozen-cherry-1
Baarbara Coffee,Honey Sun Dried Roasted Coffee Beans,,"Cherry, orange rind","Baarbara, Chikmagalur, Karnataka",SLN 795,Honey sun-dried; pulped and sun-dried with mucilage,4500 to 5000 feet,"INR 670 - INR 9,000",https://www.baarbaracoffee.com/products/honey-sun-dried
Baarbara Coffee,Pineapple Fermentation Roasted Coffee Beans,,"Caramel, toasted nuts","Baarbara, Chikmagalur, Karnataka",SLN 795,Pineapple fermentation; pulped coffee fermented with fresh pineapple,4500 to 5000 feet,"INR 770 - INR 10,700",https://www.baarbaracoffee.com/products/pineapple-fermentation
Baarbara Coffee,Monsoon Malabar Roasted Coffee Beans,,"Earthy, spicy notes; mellow, full-bodied richness","Baarbara, Chikmagalur, Karnataka",SLN 795,Monsoon Malabar / monsooned process,4500 to 5000 feet,"INR 670 - INR 9,050",https://www.baarbaracoffee.com/products/naturals-roasted-coffee-copy
Baarbara Coffee,Cold Brew Blend Roasted Coffee Beans,Medium Roast,Bright and fruity notes,,,,,"INR 650 - INR 8,400",https://www.baarbaracoffee.com/products/cold-brew-blend
Baarbara Coffee,Intenso Fermentation Roasted Coffee Beans,,"Pomegranate, cherry, candied fruit, prunes",Single Origin,SLN 795,Yeast fermentation with Intenso (Saccharomyces cerevisiae),4500 to 5000 feet,"INR 770 - INR 10,700",https://www.baarbaracoffee.com/products/intenso-fermentation-1
Baarbara Coffee,Naturals Roasted Coffee Beans,,"Coconut chips, mango","Baarbara, Chikmagalur, Karnataka",SLN 795,Natural; cherries fermented for 24 hours and dried on raised beds,4500 to 5000 feet,"INR 670 - INR 9,000",https://www.baarbaracoffee.com/products/naturals
Baarbara Coffee,Mysore Nuggets,,"Delicate flavour, balanced aroma, long-lasting finish","Bababudangiri, Chikkamagaluru, Karnataka",AAA-Grade Arabica,,4500 to 5000 feet,"INR 640 - INR 8,100",https://www.baarbaracoffee.com/products/mysore-nuggets
Baarbara Coffee,Grapes Fermented Coffee Beans,,"Apricot, guava, sweet red grapes, jamun-like finish, vibrant berry tones","Baarbara, Chikmagalur, Karnataka",SLN795,"Grape fermentation; co-fermented with ripe grapes, washed, slow-dried",4500 to 5000 feet,"INR 780 - INR 10,500",https://www.baarbaracoffee.com/products/grapes-fermented-coffee-beans
Baarbara Coffee,Double Fermentation Roasted Coffee Beans,,"Bright cranberry, delicate florals, honeyed sweetness, milk chocolate, syrupy mouthfeel, clean balanced acidity","Baarbara, Chikmagalur, Karnataka",SLN795,Double fermentation; whole cherry fermentation followed by parchment/mucilage fermentation; washed and sun-dried,4500 to 5000 feet,"INR 750 - INR 10,500",https://www.baarbaracoffee.com/products/double-fermentation-coffee-beans
Baarbara Coffee,Cima Yeast Fermentation Roasted Coffee Beans,,"Pomegranate, cherry, candied fruit, prunes",Single Origin,SLN 795,Yeast fermentation with Cima (Saccharomyces cerevisiae),4500 to 5000 feet,"INR 770 - INR 10,700",https://www.baarbaracoffee.com/products/cima-yeast-fermentation-roasted-coffee-beans
Baarbara Coffee,Mix Fruit Fermented Coffee Beans,,"Carambola, crisp apple, juicy pomegranate, refined black tea, sweet chocolate, syrupy body","Baarbara, Chikmagalur, Karnataka",SLN795,Mixed fruit co-fermentation; washed and sun-dried on raised beds,4500 to 5000 feet,"INR 780 - INR 10,500",https://www.baarbaracoffee.com/products/mix-fruit-fermented-coffee-beans
Baarbara Coffee,Whiskey Barrel Aged Roasted Coffee Beans,,"Whiskey, vanilla, wood, subtle sweetness; winy, fruity, mixed berries, tropical fruits, cereal-like notes",,,Whiskey barrel aged,,"INR 850 - INR 14,500",https://www.baarbaracoffee.com/products/whisky-barrel-aged-coffee-roasted-coffee
Baarbara Coffee,Rum Barrel Aged Roasted Coffee Beans,,"Rum, molasses, raisins, subtle sweetness; winy, fruity, mixed berries, tropical fruits, cereal-like notes",,,Rum barrel aged,,"INR 850 - INR 14,500",https://www.baarbaracoffee.com/products/rum-barrel-aged-roasted-coffee-beans
Baarbara Coffee,Brandy Barrel Aged Roasted Coffee Beans,,"Winy, fruity, slight mixed berries, tropical fruits, cereal-like notes",,,Brandy barrel aged,,"INR 850 - INR 14,500",https://www.baarbaracoffee.com/products/brandy-barrel-aged-roasted-coffee-beans
Baarbara Coffee,Whiskey Barrel Aged Green Coffee,,"Winy, fruity, slight mixed berries, tropical fruits, cereal-like notes",,,Whiskey barrel aged green coffee,,"INR 700 - INR 56,000",https://www.baarbaracoffee.com/products/whisky-barrel-aged-green-coffee
Baarbara Coffee,Brandy Barrel Aged Green Coffee Beans,,"Winy, fruity, slight mixed berries, tropical fruits, cereal-like notes",,,Brandy barrel aged green coffee,,"INR 700 - INR 56,000",https://www.baarbaracoffee.com/products/brandy-barrel-aged-green-coffee-beans
Baarbara Coffee,Rum Barrel Aged Green Coffee,,"Winy, fruity, slight mixed berries, tropical fruits, cereal-like notes",,,Rum barrel aged green coffee,,"INR 700 - INR 56,000",https://www.baarbaracoffee.com/products/rum-barrel-aged-green-coffee
Baarbara Coffee,Wine Fermented Coffee Beans,,"Winy, fruity, slight mixed berries, tropical fruits, cereal-like notes",,,Wine barrel aged / wine fermented,,"INR 850 - INR 14,500",https://www.baarbaracoffee.com/products/wine-fermented-coffee-beans
Baarbara Coffee,Blend Bhoomi / ಬ್ಲೆಂಡ್ ಭೂಮಿ / ब्लेंड भूमि,Medium Roast,"Cocoa, toasted grain, mild spice, soft fruity sweetness; full rounded body; smooth lingering finish","Baarbara estate lands, Karnataka","Washed Arabica, natural coffees, Monsoon Malabar blend","Washed Arabica, natural process, Monsoon Malabar",,"INR 650 - INR 35,500",https://www.baarbaracoffee.com/products/blend-bhoomi
Baarbara Coffee,Blend Akasha/ ಬ್ಲೆಂಡ್ ಆಕಾಶ/ ब्लेंड आकाश,Medium Roast,"Ripe berries, dried fruit, vanilla, soft rum-soaked oak; silky body; long luxurious finish","Baarbara estate lands, Karnataka","Washed Arabica, natural coffees, barrel-influenced coffee blend","Washed Arabica, natural process, subtle barrel influence",,"INR 660 - INR 34,500",https://www.baarbaracoffee.com/products/blend-akasha
Baarbara Coffee,Blend Surya / ಬ್ಲೆಂಡ್ ಅಗ್ನಿ / ब्लेंड अग्नि,Medium Roast,"Jaggery, milk chocolate, toasted nuts, gentle spice; low acidity; high sweetness","Baarbara estate lands, Karnataka",Honey Arabica and Robusta blend,Honey Arabica blend with Robusta,,"INR 620 - INR 32,000",https://www.baarbaracoffee.com/products/blend-agni
Baarbara Coffee,Blend Jala / ಬ್ಲೆಂಡ್ ಜಲ / ब्लेंड जल,Medium Roast,"Fermented fruit punch, citrus peel, sticky caramel sweetness; thick body; punchy finish","Baarbara estate lands, Karnataka","Washed Arabica, double fermentation coffee, Robusta blend","Washed Arabica, double fermentation, Robusta blend",,"INR 640 - INR 33,500",https://www.baarbaracoffee.com/products/blend-jal
Baarbara Coffee,Blend Vayu / ಬ್ಲೆಂಡ್ ವಾಯು / ब्लेंड वायु,Medium Roast,"Delicate florals, mixed berry, white fruit, honeyed sweetness; silky texture; clean finish","Baarbara estate lands, Karnataka",Washed Arabica and frozen-cherry processed coffee blend,Washed Arabica and frozen-cherry processing,,"INR 680 - INR 35,500",https://www.baarbaracoffee.com/products/blend-vayu
Baarbara Coffee,Decaffeinated Roasted Coffee Beans,Medium Roast,"Smooth aromatic cup; rich aroma, essential oils, and natural flavour preserved",,,Supercritical CO2 Fluid Extraction (SCFE) decaffeination,,"INR 950 - INR 17,000",https://www.baarbaracoffee.com/products/decaffeinated-coffee
Baarbara Coffee,Decaffeinated Green Coffee Beans,,"Smooth aromatic cup; rich aroma, essential oils, and natural flavour preserved",,,Supercritical CO2 Fluid Extraction (SCFE) decaffeination,,"INR 750 - INR 37,000",https://www.baarbaracoffee.com/products/decaffeinated-green-coffee-beans
Black Baza Coffee Co.,Frogmouth,Medium Roast,"Guava, Amla, Walnuts",The Nilgiris,Washed Arabica; Chandragiri,Washed,1400 MSL,"INR 610 - INR 1,170",https://www.blackbazacoffee.com/products/frogmouth
Black Baza Coffee Co.,Wanderoo,Medium Roast,"Dark Chocolate, Brown Sugar","BR Hills, Karnataka",Washed Arabica; Chandragiri,Washed,1100 MSL,"INR 600 - INR 1,180",https://www.blackbazacoffee.com/products/wanderoo
Black Baza Coffee Co.,Luna,Dark Roast,"Dark Chocolate, Tobacco, Spice","Wayanad, Kerala","Natural, Sun-dried Robusta; Kent",Naturals,700MSL,"INR 550 - INR 1,080",https://www.blackbazacoffee.com/products/luna
Black Baza Coffee Co.,Jumping Ant,Light Roast,"Sweet Citrus, Nutty, Honey","BR Hills, Karnataka",Washed Arabica; SLN9,Washed,1200 MSL,"INR 600 - INR 1,180",https://www.blackbazacoffee.com/products/jumping-ant
Black Baza Coffee Co.,Bird-Friendly Bundle,Light Roast / Medium Dark Roast,From sweet citrus to chocolate,"BR Hills, Karnataka; Wayanad, Kerala; Jamnagar, Gujarat",Washed Arabica; Robusta Naturals; 20% Chicory,Washed & Naturals,,INR 780,https://www.blackbazacoffee.com/products/bird-friendly-bundle
Black Baza Coffee Co.,Chukki,Vienna Roast,"Hazelnut, Dark Chocolate, Jaggery","BR Hills, Karnataka",Washed Arabica; Arabica SLN9,Washed,1200MSL,"INR 580 - INR 1,140",https://www.blackbazacoffee.com/products/chukki
Black Baza Coffee Co.,Whistling Schoolboy,Medium Dark Roast,"Milk Chocolate, Roasted Almonds, Hazelnut","BR Hills, Karnataka + Wayanad, Kerala + Jamnagar, Gujarat",Arabica and Robusta beans with 20% Chicory; SLN9 & Kent,Washed & Naturals,"1200MSL, 700 MSL & 17MSL","INR 510 - INR 1,000",https://www.blackbazacoffee.com/products/filter-coffee
Black Baza Coffee Co.,Ficus,Medium Dark Roast,"Dried Cranberries, Cacao Bitters, Roast Almond","BR Hills, Karnataka + Wayanad, Kerala","Washed Arabica and Natural, Sun-dried Robusta; SLN9 & Kent",Washed & Naturals,1100MSL & 700MSL,"INR 580 - INR 1,140",https://www.blackbazacoffee.com/products/ficus
Black Baza Coffee Co.,Potter Wasp,Medium Light Roast,"Jaggery, Dried Berries","BR Hills, Karnataka",Pulp Sun-Dried Arabica (Honey); Arabica SLN9,Honey Process,1200MSL,"INR 630 - INR 1,240",https://www.blackbazacoffee.com/products/potter-wasp
Black Baza Coffee Co.,Loris,Dark Roast,"Dark Chocolate, Burnt Caramel","BR Hills, Karnataka",Washed Arabica; SLN9,Washed,1200 MSL,"INR 580 - INR 1,140",https://www.blackbazacoffee.com/products/loris
Black Baza Coffee Co.,Otter,Medium Dark Roast,"Baker's Chocolate, Dried Berries, Caramel","BR Hills, Karnataka + Wayanad, Kerala","Washed Arabica and Natural, Sun-dried Robusta; SLN9 & Kent",Washed & Naturals,1100MSL & 700MSL,INR 580,https://www.blackbazacoffee.com/products/otter
Black Baza Coffee Co.,Specialty Arabica Bundle,Light Roast / Medium Roast / Vienna Roast,,"BR Hills, Karnataka; The Nilgiris, Tamil Nadu",Washed Arabica; Washed Arabica & Peaberry,Washed; Semi-washed Honey,,"INR 1,000",https://www.blackbazacoffee.com/products/specialty-arabica-bundle
Black Baza Coffee Co.,Draco,Medium Roast,Green Cardamom,"BR Hills & Bisle Ghat, Karnataka",Washed Arabica Peaberry Rested with Green Cardamom; Arabica SLN9,Washed & Aged,1200MSL,"INR 620 - INR 1,200",https://www.blackbazacoffee.com/products/draco
Black Baza Coffee Co.,Galaxy Frog,Medium Roast,"Lemon Zest, Green Grapes, Molasses",BR Hills & The Nilgiris,Washed Arabica & Peaberry; SLN9,Washed,1100-1400 MSL,"INR 600 - INR 1,180",https://www.blackbazacoffee.com/products/galaxy-frog
Black Baza Coffee Co.,Tiger Beetle,Medium Roast,"Fruit and Nuts, Cherry Jam, Milk Chocolate","BR Hills, Karnataka",Washed Arabica Peaberry; SLN9,Washed Peaberry,1200 MSL,"INR 580 - INR 1,140",https://www.blackbazacoffee.com/products/tiger-beetle
Black Baza Coffee Co.,Kaati,,"Burnt Caramel, Toasted Nuts, Cocoa",,Washed Arabica,,,"INR 610 - INR 1,170",https://www.blackbazacoffee.com/products/kaati
Bloom Coffee Roasters,Kolli Berry Estate - Naturals - Chikmagalur - Light Roast,Light Roast,"Raspberry, White Chocolate & Fresh Stone Fruit","Kolli Berry Estate, Chikmagalur",S795,Naturals; Anaerobic Naturals,1150 MASL,INR 975,https://bloomcoffeeroasters.in/products/kolli-berry-estate-naturals-chikmagalur-light-roast
Bloom Coffee Roasters,Attikan estate - Wild Mandarin (Washed) - BR Hills - Light Roast,Light Roast,"Raisins, Papaya, Citrus Fruits, Floral","Attikan Estate, BR Hills",SLN9,Washed; Wild Mandarin Co-ferment,1650 MASL,"INR 1,000",https://bloomcoffeeroasters.in/products/attikan-estate-wild-mandarin-washed-br-hills-light-roast
Bloom Coffee Roasters,Udaigiri Estate - Naturals - Chikmagalur - Light Roast,Light Roast,"Mulberries, Candied Nuts, Milk Chocolate","Udaigiri Estate, Chikmagalur",SLN9,Naturals; Osmotic Naturals,1150 MASL,INR 850,https://bloomcoffeeroasters.in/products/udaigiri-estate-naturals-chikmagalur-light-roast
Bloom Coffee Roasters,Salawara estate - Bio-Reactor Naturals - Sakleshpur - Light Roast,Light Roast,"Pineapple, Citrus Fruits, Cocoa","Salawara Estate, Sakleshpur",Chandragiri,Naturals; Anaerobic Yeast in a Bio-Reactor,1150 MASL,INR 875,https://bloomcoffeeroasters.in/products/salawara-estate-bio-reactor-naturals-sakleshpur-light-roast
Bloom Coffee Roasters,Salawara estate - Yeast Washed - Sakleshpur - Light Roast,Light Roast,"Peaches, White Chocolate, Butterscotch","Salawara Estate, Sakleshpur",Chandragiri,Washed; Anaerobic Yeast,1150 MASL,INR 750,https://bloomcoffeeroasters.in/products/salawara-estate-naturals-sakleshpur-light-roast
Bloom Coffee Roasters,Salawara estate - Anaerobic Yellow Honey - Sakleshpur - Light Roast,Medium Light Roast,"Tropical Fruits, Milk Chocolate, and Hazelnuts","Salawara Estate, Sakleshpur",S795,Yellow Honey; Anaerobic Fermentation before pulping,1200 MASL,INR 850,https://bloomcoffeeroasters.in/products/salawara-estate-anaerobic-yellow-honey-sakleshpur-light-roast
Bloom Coffee Roasters,Kelachandra estate - Naturals - Chikmagalur - Light Roast,Light Roast,"Stone Fruit, Cacao, Floral","Kelachandra Estate, Chikmagalur",Chandragiri,Naturals; Anaerobic,1150 MASL,INR 750,https://bloomcoffeeroasters.in/products/kelachandra-estate-naturals-chikmagalur-light-roast
Bloom Coffee Roasters,Salawara Estate - Red Honey - Sakleshpur - Light Roast,Light Roast,"Amla, Kinnow & Jaggery","Salawara Estate, Sakleshpur",S795,Red Honey; 72 hours Anaerobic fermentation,1100 MASL,"INR 750 - INR 2,400",https://bloomcoffeeroasters.in/products/salawara-estate-red-honey-sakleshpur-light-roast
Bloom Coffee Roasters,Hoysala Estate - Naturals - Chikmagalur - Light Roast,Light Roast,"Orange Marmalade, Dried Apricots and Dark Chocolate","Hoysala Estate, Chikmagalur",Sachimore,Naturals,1050 MASL,INR 750,https://bloomcoffeeroasters.in/products/hoysala-estate-naturals-chikmagalur-light-roast
Bloom Coffee Roasters,Hoysala Estate - Washed - Chikmagalur - Light Roast,Light-Medium Roast,"Coffee Blossom, Stone Fruit, & Oranges","Hoysala Estate, Chikmagalur",Sachimore,Washed; In fruit fermentation before pulping,1050 MASL,INR 675,https://bloomcoffeeroasters.in/products/hoysala-estate-washed-chikmagalur-medium-light-roast
Bloom Coffee Roasters,Meera - Medium Light Roast,Light-Medium Roast,"Caramel, Bakers Chocolate, Berries and Vanilla","Venkids Valley Estate & Hoysala Estate, Coorg & Chikmagalur","SLN6, Chandragiri",Washed & Naturals,1100 - 1250 MASL,"INR 700 - INR 2,200",https://bloomcoffeeroasters.in/products/meera-medium-light-roast
Bloom Coffee Roasters,Venkids Valley Estate - The Red Honey - Light Roast,Light Roast,"Mango, Hibiscus and Butterscotch","Venkids Valley Estate, Coorg",Catuai,Red Honey,1000 MASL,INR 800,https://bloomcoffeeroasters.in/products/venkids-valley-estate-the-red-honey
Bloom Coffee Roasters,Papakuchi Coffee (Washed) - Coorg (Light Roast),Light Roast,"Malt, Red Apple, Pomegranate Juice","Papakuchi Coffee / Venkids Valley Estate, Coorg",SLN6,Washed,3600 ft.,"INR 650 - INR 2,000",https://bloomcoffeeroasters.in/products/papkuchi-coffee-washed-coorg-light-roast
Bloom Coffee Roasters,Pulney Coffee (Washed) - Pulney Hills - Medium Roast,Medium Roast,"Citrus Fruits, Cherries, and Nuts","Laks Farm, Pulney Hills, Tamil Nadu",Chandragiri and SL9,Washed,4920 ft.,"INR 675 - INR 2,100",https://bloomcoffeeroasters.in/products/pulney-coffee-washed-pulney-hills-medium-roast
Bloom Coffee Roasters,Balanoor Plantations - Kents (Washed) - Chikmagalur - Medium Roast,Medium Roast,"Chocolate, Citrus Fruits, and Plum","Balanoor Plantations, Chikmagalur",Kents,Washed,3850 ft.,"INR 650 - INR 2,100",https://bloomcoffeeroasters.in/products/balanoor-plantations-kents-medium-roast
Bloom Coffee Roasters,Venkids Valley Estate (Washed) – Coorg - Medium Dark Roast,Medium Roast,"Mexican chocolate, Caramel, and Orange Zest","Venkids Valley Estate, Coorg",SLN6,Washed,3600 ft.,"INR 600 - INR 2,000",https://bloomcoffeeroasters.in/products/venkids-valley-estate-medium-dark
Bloom Coffee Roasters,Vin Van Gogh - Medium Roast,Medium Dark Roast,"Berries, almonds, and spiced Chocolate",Venkids Valley Estate & Moganad Estate,"SL6, Sln9, Sln5B",Washed,3200-4250 ft.,"INR 600 - INR 2,000",https://bloomcoffeeroasters.in/products/vin-van-gogh
Bloom Coffee Roasters,Kenny Ji - The Cold Brew Blend,Medium Roast,"Bright, Smooth, Easy",,,,,"INR 575 - INR 2,300",https://bloomcoffeeroasters.in/products/kenny-ji-the-cold-brew-blend
Bloom Coffee Roasters,Kid Dynamite - Dark Roast,Dark Roast,,"Salawara Estate & Kottaram Estate, Wayanad","Arabica S795, Robusta C x R",Washed Arabica and Naturals Robusta,3300 ft. – 4500ft.,"INR 550 - INR 1,700",https://bloomcoffeeroasters.in/products/kid-dynamite-dark-roast-copy
Bloom Coffee Roasters,Harley Estate - Vienna Roast (Naturals) - Sakleshpur,Dark (Vienna Roast),"Blackberry Jam, Caramel & Cacao","Harley Estate, Sakleshpur",SL9,Naturals,1130 MASL,INR 700,https://bloomcoffeeroasters.in/products/harley-estate-vienna-roast-naturals-sakleshpur
