Roaster,Name,Roast Profile,Flavour Notes,Origin / Location,Varietal / Species,Process,Elevation,Price,Product Link
Caarabi Coffee Roasters,BAARBARA RUM BARREL AGED,Medium Roast,"Rum, Molasses, Raisins; dark fruit, boozy, smooth finish","Baarbara Estate, Chikmagalur, Karnataka",,Rum Barrel Aged,,"INR 1,350",https://caarabicoffee.com/collections/shop-coffee/products/baarbara-rum-barrel-aged
Caarabi Coffee Roasters,Nagaland Washed,Medium Roast,"Toffee, Pecan, Wild Berry; chocolate at the start, fruity through the middle, caramel on the finish","Peren, Nagaland","SL9, Kaveri",Washed Arabica,,INR 950,https://caarabicoffee.com/collections/shop-coffee/products/thailand-chiang-rai-mae-suai-rom-yen-usda-certified-organic-coffee-beans-single-origin-copy
Caarabi Coffee Roasters,BAARBARA BRANDY BARREL AGED,Medium Roast,"Boozy Berry, Oak, Caramelised Finish","Baarbara Estate, Chikmagalur, Karnataka",,Brandy Barrel Aged,,"INR 1,350",https://caarabicoffee.com/collections/shop-coffee/products/baarbara-brandy-barrel-aged
Coffeeverse,Excelsa community,Light Roast,"Dry Dates , Ripe Banana , Black Currant","Mooley Manay Estate, Coorg, Karnataka",Excelsa,Naturals,,INR 975,https://coffeeverse.in/products/exelsa-community
Coffeeverse,Raxidi Naturals,Light Plus Roast,"Pear , Red Apples , Golden Raisins","Raxidi Lobo Estate, Sakleshpur, Karnataka",SL5B; Arabica,Anaerobic Naturals,950-1000 meters,INR 975,https://coffeeverse.in/products/w1-lobo-estate
Coffeeverse,84 Hours Anoxic Naturals,Light Plus Roast,"Dried Fig , Red Cherry , Nutmeg","Sai Ashirwad Estate, Chikmagalur",CxR; Robusta,84hrs Anoxic Naturals,,INR 750,https://coffeeverse.in/products/84-hours-axoxic-naturals
Coffeeverse,Sandalkad Yeast Intenso,Light Roast,"Amber Honey , Mulberries , Peach Molasses",Sandalkad Estate,"Chandragiri,SL9,SL6; Arabica",72-hour Yeast Intenso Anaerobic Naturals,,INR 975,https://coffeeverse.in/products/sandalkad-honey-yeast-intenso
Coffeeverse,Sandalkad Herb Fermented,Light Roast,"Sugarcane , Dried Coconut , Toffee",Sandalkad Estate,"SLN795,SL9,SL6; Arabica",72hrs Anaerobic Naturals,,INR 975,https://coffeeverse.in/products/sandalkad-herb-fermented
Coffeeverse,Sandalkad Sugar and Salt,Light Roast,"Kiwi , Passionfruit , Pomegranate",Sandalkad Estate,prestigious Chandragiri SL 9; Arabica,96hrs Anaerobic Naturals,,INR 975,https://coffeeverse.in/products/sandalkad-sugar-and-salt
Coffeeverse,Wild Flower,Light Roast,"Amarena Cherry , White Tea , Malt Candy",Attikan Estate,SLN 795; Arabica,Honey Sun Dried,,INR 975,https://coffeeverse.in/products/wild-flower
Coffeeverse,Melkodige Mk Star Aerobic,Light Plus Roast,"Apricot , Pomegranate , Strawberry Jam",Melkodige Estate,Obata; Arabica,Aerobic Naturals,,INR 975,https://coffeeverse.in/products/melkodige-mk-star-aerobic
Coffeeverse,Melkodige Anaerobic,Light Roast,"Sapodilla , Peach , Red Cherry",Melkodige Estate,SLN 9; Arabica,72hrs Anaerobic Naturals,,INR 975,https://coffeeverse.in/products/melkodige-sln-9-anaerobic-1
Coffeeverse,Microbe Magic,Light Plus Roast,"Muscovado , White Peach , Dried Apricot",Ratnagiri Estate,Catuai; Arabica,Lab process,4425 feet,"INR 1,100",https://coffeeverse.in/products/microbe-magic
Coffeeverse,Citrus Elixir,Light Roast,"Orange , Golden Berry , Yuzu",Ratnagiri Estate,Catuai; Arabica,Anaerobic Fermented,4450 feet,"INR 1,100",https://coffeeverse.in/products/citrus-elixir
Coffeeverse,Praline Symphony,Light Roast,"Cocoa , Brown Sugar , Almond",Ratnagiri Estate,Catuai; Arabica,72-hour fermented natural process,4425 feet,"INR 1,100",https://coffeeverse.in/products/praline-symphony
Coffeeverse,Toffee Club,Light Plus Roast,"Yellow Plum , Jaggery , Medjool Date",Ratnagiri Estate,Hemavathi; Arabica,Lab Process,4325 feet,"INR 1,100",https://coffeeverse.in/products/toffee-club
Coffeeverse,The Lacto Project,Light Roast,"Green Grapes , Sweet lime , Red Raisins",Ratnagiri Estate,Hemavathi; Arabica,Carbonic maceration,4500 feet,"INR 1,100",https://coffeeverse.in/products/the-lacto-project
